SOP,Title,date
2024-01-3095,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,25. 11. 2024
2024-01-3098,Aneks h Kolektivni pogodbi za dejavnost zdravstva in socialnega varstva Slovenije,25. 11. 2024
2024-01-3097,Aneks h Kolektivni pogodbi za zaposlene v zdravstveni negi,25. 11. 2024
2024-01-3100,Aneks k Posebnemu tarifnemu delu Kolektivne pogodbe za zdravnike in zobozdravnike v Republiki Sloveniji,25. 11. 2024
2024-01-3099,Aneks št. 5 h Kolektivni pogodbi za dejavnost obvezne socialne varnosti – tarifni del,25. 11. 2024
2024-01-3089,Kolektivna pogodba za dejavnost okolja in prostora – tarifni del,25. 11. 2024
2024-01-3090,Kolektivna pogodba za dejavnost poklicnega gasilstva – tarifni del,25. 11. 2024
2025-01-0947,Pravilnik o spremembah in dopolnitvi Pravilnika o varovanju delavcev pred tveganji zaradi izpostavljenosti kemičnim snovem pri delu,18. 4. 2025
2025-01-0946,"Pravilnik o spremembah Pravilnika o varovanju delavcev pred tveganji zaradi izpostavljenosti rakotvornim, mutagenim ali reprotoksičnim snovem pri delu",18. 4. 2025
2024-01-3091,Kolektivna pogodba za dejavnost javni red in varnost,25. 11. 2024
2024-01-2958,"Aneks h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",15. 11. 2024
2024-01-2959,"Aneks št. 19 k Tarifni prilogi h Kolektivni pogodbi časopisno-informativne, založniške in knjigotrške dejavnosti",15. 11. 2024
2024-01-2957,Kolektivna pogodba za zavarovalstvo Slovenije,15. 11. 2024
1994-01-1937,Kolektivna pogodba za dejavnost vzgoje in izobraževanja v Republiki Sloveniji,30. 8. 1994
1998-01-2770,Kolektivna pogodba za zaposlene v zdravstveni negi,28. 8. 1998
2012-01-1703,Aneks h Kolektivni pogodbi za negospodarske dejavnosti v Republiki Sloveniji,30. 5. 2012
2012-01-1704,Aneks h Kolektivni pogodbi za zaposlene v zdravstveni negi,30. 5. 2012
2012-01-1705,Aneks h Kolektivni pogodbi za zdravnike in zobozdravnike v Republiki Sloveniji,30. 5. 2012
2012-01-1706,Aneks h Kolektivni pogodbi za dejavnost zdravstva in socialnega varstva Slovenije,30. 5. 2012
2012-01-1707,Aneks h Kolektivni pogodbi za dejavnost vzgoje in izobraževanja v Republiki Sloveniji,30. 5. 2012
2012-01-1708,Aneks h Kolektivni pogodbi za raziskovalno dejavnost,30. 5. 2012
2012-01-1709,Aneks h Kolektivni pogodbi za kulturne dejavnosti v Republiki Sloveniji,30. 5. 2012
2024-01-3036,Aneks št. 4 h Kolektivni pogodbi premogovništva Slovenije,22. 11. 2024
2024-01-3155,Aneks št. 1 h Kolektivni pogodbi dejavnosti za storitvene dejavnosti v kopenskem prometu,29. 11. 2024
2024-01-3156,Aneks številka 2 h Kolektivni pogodbi za cestni potniški promet Slovenije,29. 11. 2024
2008-01-2482,Zakon o spremembah in dopolnitvah Zakona o zdravniški službi (ZZdrS-E),10. 6. 2008
1997-01-3371,Zakon o spremembah in dopolnitvah zakona o delavcih v državnih organih (ZDDO-F),14. 11. 1997
1966-07-0204,Pravilnik o varstvu pri nakladanju in razkladanju tovornih motornih vozil,27. 4. 1966
1979-04-0758,Pravilnik o varstvu pri delu v gozdarstvu,18. 5. 1979
2025-01-0863,Zakon o spremembah in dopolnitvah Zakona o evidencah na področju dela in socialne varnosti (ZEPDSV-B),8. 4. 2025
2015-01-2775,Pravilnik o spremembah in dopolnitvah Pravilnika o standardih in normativih za izvajanje storitev za trg dela in metodologiji za oblikovanje cen teh storitev,25. 9. 2015
2011-01-3165,Pravilnik o standardih in normativih za izvajanje storitev za trg dela in metodologiji za oblikovanje cen teh storitev,23. 9. 2011
2024-01-3730,"Odredba o spremembi Odredbe o določitvi poklicev, v katerih zaposlitev tujca nivezana na trg dela",27. 12. 2024
2024-01-3423,"Razlaga Kolektivne pogodbe za dejavnost zdravstva in socialnega varstva Slovenije glede določbe tretje alineje 4. točke 38.člena KPZSV, ki se nanaša na delavčevo pravico do odsotnosti z dela s pravico do nadomestila plače, sprejete na 90. seji dne 22.11. 2024",17. 12. 2024
